model,epoch,average_loss,accuracy,correct_data,total_data,distance
36,82,0.13885427494994318,96.55555555555554,9559,9900,1.5960660075924307
58,82,0.38633641074402164,90.71717171717172,8981,9900,1.6704806636592062
71,82,0.3248431320864745,91.55555555555556,9064,9900,1.7629789932522746
global,82,1.6740248323691012,62.16161616161616,6154,9900
13,83,0.10446505048359284,97.4040404040404,9643,9900,1.619713105711954
36,83,0.126287998321532,96.7878787878788,9582,9900,1.6007582715434567
58,83,0.4182474555391254,89.3838383838384,8849,9900,1.682663521153633
71,83,0.05016442539612528,98.69696969696969,9771,9900,1.7318977328584035
global,83,1.4738126797146267,66.03030303030303,6537,9900
13,84,0.13719566848542955,96.52525252525253,9556,9900,1.6298556042703551
36,84,0.126365815488377,96.87878787878788,9591,9900,1.6186452735988124
58,84,0.33928345463492654,91.66666666666666,9075,9900,1.6685236916693347
71,84,0.15635457367005975,95.97979797979798,9502,9900,1.7603451941914725
global,84,1.2800881225894196,69.8989898989899,6920,9900
13,85,0.11564190602061725,96.96969696969697,9600,9900,1.6071678507844451
36,85,0.22291459951737913,94.42424242424242,9348,9900,1.5819907100805004
58,85,0.31363070164063966,92.83838383838385,9191,9900,1.6571884375678714
71,85,0.15504128052730753,95.9090909090909,9495,9900,1.6972740533090502
global,85,1.1278888879641138,73.13131313131314,7240,9900
13,86,0.15710618177447655,96.08080808080808,9512,9900,1.617473632267408
36,86,0.1794141191364539,95.44444444444444,9449,9900,1.5383856974761625
58,86,0.22677556680910516,94.35353535353535,9341,9900,1.65658875365971
71,86,0.09960463353780785,97.31313131313132,9634,9900,1.6777685514972525
global,86,0.9663650241042628,76.9090909090909,7614,9900
13,87,0.2203272918137637,94.42424242424242,9348,9900,1.5991430103459954
36,87,0.10071477709394512,97.43434343434343,9646,9900,1.5192706122369337
58,87,0.10352570007621038,97.21212121212122,9624,9900,1.5934193586060046
71,87,0.3324003556280425,91.75757575757576,9084,9900,1.6113002335417488
global,87,0.8557929678637572,79.53535353535354,7874,9900
13,88,0.10416279737997537,96.94949494949495,9598,9900,1.5578514377391832
36,88,0.09546564985104282,97.52525252525253,9655,9900,1.61117001769288
58,88,0.1557116729502726,95.72727272727273,9477,9900,1.6242608076396263
71,88,0.06316243272500507,98.24242424242425,9726,9900,1.6652146769787417
global,88,0.814112197413589,80.26262626262626,7946,9900
13,89,0.06831885084660366,98.16161616161617,9718,9900,1.5932186961466466
36,89,0.166759092648222,95.65656565656566,9470,9900,1.5675648045871022
58,89,0.29031449486510924,92.9090909090909,9198,9900,1.567513775924672
71,89,0.13877648804825965,96.56565656565657,9560,9900,1.6113733273726007
global,89,0.7523418258898186,81.56565656565657,8075,9900
13,90,0.044826999129445266,98.72727272727273,9774,9900,1.5758217348222971
36,90,0.07210564688600675,98.17171717171718,9719,9900,1.5608878401760247
58,90,0.28669453490864144,92.64646464646464,9172,9900,1.5690848642839792
71,90,0.09659846851470494,97.35353535353536,9638,9900,1.6162049630507023
global,90,0.6711808029328934,83.16161616161615,8233,9900
13,91,0.08142747847118763,97.71717171717171,9674,9900,1.559981032280662
36,91,0.059703474081676415,98.5050505050505,9752,9900,1.5237025103784752
58,91,0.16145494424032442,96.0,9504,9900,1.518403956546593
71,91,0.057034634729903756,98.36363636363636,9738,9900,1.5893111402948397
global,91,0.6130069194177185,84.60606060606061,8376,9900
13,92,0.03821678043503051,98.97979797979798,9799,9900,1.5039133839623815
36,92,0.25063597396166637,94.21212121212122,9327,9900,1.4703318417256972
58,92,0.13412662364015676,96.23232323232324,9527,9900,1.5614296107824075
71,92,0.2030750777263834,94.94949494949495,9400,9900,1.5953959025701112
global,92,0.5841083371518838,85.42424242424242,8457,9900
