local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,71,1,0.006241977214813232,89.50640542577241,4751,5308
36,71,71,1,0.005120240151882172,91.81235935606716,5304,5777
58,71,71,1,0.007148957811295986,89.42026156548897,4581,5123
71,71,71,1,0.006152326241135597,89.76921679084136,4940,5503
85,141,71,1,0.005782080348581076,88.58500071973513,6154,6947
85,142,71,2,0.005797024350613356,88.84410536922412,6172,6947
4,141,71,1,0.005775043740868568,88.7537239324727,3575,4028
4,142,71,2,0.004247973673045635,91.80734856007945,3698,4028
97,141,71,1,0.006643115077167749,87.0143581081081,4121,4736
97,142,71,2,0.005282697267830372,89.67483108108108,4247,4736
76,141,71,1,0.006463582627475262,86.89062894670371,3440,3959
76,142,71,2,0.004877557512372732,90.37635766607728,3578,3959
38,141,71,1,0.006518766283988953,87.7626303127506,5472,6235
38,142,71,2,0.006502283271402121,87.31355252606255,5444,6235
94,141,71,1,0.006849528755992651,86.67687595712098,4528,5224
94,142,71,2,0.004900303669273853,90.46707503828483,4726,5224
86,141,71,1,0.005801634397357702,87.96131331127513,3456,3929
86,142,71,2,0.004703203681856394,90.83736319674217,3569,3929
10,141,71,1,0.00510886125266552,90.19337016574586,4571,5068
10,142,71,2,0.004128854721784592,92.42304656669297,4684,5068
29,141,71,1,0.004747308325022459,90.87066779374472,4300,4732
29,142,71,2,0.003629748011007905,92.68808114961962,4386,4732
34,141,71,1,0.0050671338103711605,90.34819792302994,4437,4911
34,142,71,2,0.004277172032743692,91.79393198941153,4508,4911
7,141,71,1,0.006922699511051178,88.0262887656603,4286,4869
7,142,71,2,0.009057304821908474,82.76853563360032,4030,4869
18,141,71,1,0.006073267199099064,88.44433984466933,3758,4249
18,142,71,2,0.004986243788152933,90.51541539185692,3846,4249
6,141,71,1,0.006173132453113794,89.73422600933252,4423,4929
6,142,71,2,0.005845734849572182,90.36315682694259,4454,4929
22,141,71,1,0.0051706405356526375,89.7998595505618,5115,5696
22,142,71,2,0.005190446972846985,89.7998595505618,5115,5696
69,141,71,1,0.005388278514146805,89.71127406049496,3915,4364
69,142,71,2,0.0054314336739480495,89.48212648945922,3905,4364
81,141,71,1,0.005158938001841307,89.85104270109235,4524,5035
81,142,71,2,0.004191447980701923,92.13505461767627,4639,5035
13,72,72,1,0.005068776663392782,91.78598342125093,4872,5308
36,72,72,1,0.004416170064359903,93.02406093127921,5374,5777
58,72,72,1,0.006500494200736284,89.94729650595355,4608,5123
71,72,72,1,0.005032970570027828,91.64092313283663,5043,5503
47,143,72,1,0.006801774725317955,87.80011711887565,4498,5123
47,144,72,2,0.009512039832770824,82.17841108725356,4210,5123
10,143,72,1,0.005047422833740711,89.71981057616418,4547,5068
10,144,72,2,0.004807089921087027,90.90370955011839,4607,5068
95,143,72,1,0.0066300961188972,86.58828218413711,4345,5018
95,144,72,2,0.005690987221896648,88.62096452770028,4447,5018
98,143,72,1,0.006400484591722488,90.07450132179764,3748,4161
98,144,72,2,0.005238684359937906,91.03580869983176,3788,4161
64,143,72,1,0.0063367183320224285,87.90355537392726,4302,4894
64,144,72,2,0.005868011619895697,88.59828361258684,4336,4894
57,143,72,1,0.00552742974832654,89.10411622276028,4416,4956
57,144,72,2,0.00423717824742198,92.25181598062953,4572,4956
27,143,72,1,0.0056865946389734745,89.25223457597559,4094,4587
27,144,72,2,0.004902506247162819,90.38587311968607,4146,4587
85,143,72,1,0.005574943032115698,89.20397293795884,6197,6947
85,144,72,2,0.005692967679351568,89.07442061321433,6188,6947
93,143,72,1,0.005699362605810165,88.94164193867458,4496,5055
93,144,72,2,0.0048329271376132965,90.84075173095944,4592,5055
6,143,72,1,0.006023627705872059,89.71393791844187,4422,4929
6,144,72,2,0.0060900053940713406,90.01825928180158,4437,4929
74,143,72,1,0.005938763730227947,87.82572441109026,4213,4797
74,144,72,2,0.005355400498956442,88.99312070043777,4269,4797
54,143,72,1,0.006889944430440664,86.18246235606732,4865,5645
54,144,72,2,0.006822440307587385,86.69619131975199,4894,5645
88,143,72,1,0.004904113709926605,90.48862364789258,4852,5362
88,144,72,2,0.004702076315879822,90.88026855650877,4873,5362
45,143,72,1,0.006483879406005144,87.1561304427036,4784,5489
45,144,72,2,0.0053658694960176945,89.46984878848606,4911,5489
51,143,72,1,0.005335311405360699,89.5813047711782,3680,4108
51,144,72,2,0.004150302615016699,92.91626095423564,3817,4108
52,143,72,1,0.005311722867190838,90.07263922518159,3720,4130
52,144,72,2,0.004152558743953705,92.34866828087166,3814,4130
13,73,73,1,0.004860927816480398,92.06857573474001,4887,5308
36,73,73,1,0.004098394885659218,93.42219144884888,5397,5777
58,73,73,1,0.005935242399573326,91.41128245168846,4683,5123
71,73,73,1,0.005158741492778063,91.16845357077958,5017,5503
31,145,73,1,0.005181248299777508,90.23583865990743,4094,4537
31,146,73,2,0.004208598285913467,92.32973330394533,4189,4537
47,145,73,1,0.005916085094213486,88.7175483115362,4545,5123
47,146,73,2,0.006670965813100338,87.58539918016787,4487,5123
14,145,73,1,0.00419216975569725,91.75405147759771,3850,4196
14,146,73,2,0.0033474434167146683,93.89895138226882,3940,4196
73,145,73,1,0.0053287954069674015,89.75027144408251,4133,4605
73,146,73,2,0.004144725855439901,92.26927252985885,4249,4605
99,145,73,1,0.005815569311380386,89.13626056483199,4324,4851
99,146,73,2,0.004511742852628231,91.2183055040198,4425,4851
60,145,73,1,0.005859911907464266,88.61278648974668,3673,4145
60,146,73,2,0.004411912057548761,91.58021712907117,3796,4145
