model,epoch,average_loss,accuracy,correct_data,total_data,distance
36,84,0.1300469235338346,96.86868686868686,9590,9900,1.5433612565685901
58,84,0.30010118462822655,92.61616161616162,9169,9900,1.663219112814131
71,84,0.14414307120472494,96.41414141414143,9545,9900,1.6907568691530959
global,84,1.1421792590979374,73.15151515151516,7242,9900
13,85,0.12761465184014253,96.7878787878788,9582,9900,1.5317642749627385
36,85,0.22501149824171354,94.58585858585859,9364,9900,1.50140704284069
58,85,0.3159473345496438,92.94949494949495,9202,9900,1.656164778910101
71,85,0.17249922516972127,95.5050505050505,9455,9900,1.6263796011839353
global,85,0.9551081196948735,77.31313131313131,7654,9900
13,86,0.13696917496847383,96.65656565656565,9569,9900,1.534978802935342
36,86,0.16352716822816868,95.88888888888889,9493,9900,1.448367874134563
58,86,0.23752024146041484,94.14141414141413,9320,9900,1.6602638120026458
71,86,0.08650878224107954,97.66666666666667,9669,9900,1.5876668887386824
global,86,0.7732165390554101,81.33333333333333,8052,9900
13,87,0.22055406667969443,94.57575757575758,9363,9900,1.4965575771605286
36,87,0.09265405250017089,97.70707070707071,9673,9900,1.434625322028617
58,87,0.09258631008893553,97.57575757575758,9660,9900,1.602071243987916
71,87,0.2957174899120523,92.87878787878789,9195,9900,1.5423422785023388
global,87,0.6378814806119361,84.62626262626263,8378,9900
13,88,0.09831650358257872,97.28282828282828,9631,9900,1.467022630814709
36,88,0.08971920946932803,97.70707070707071,9673,9900,1.5488470588671674
58,88,0.12990548634167873,96.55555555555554,9559,9900,1.620514842157564
71,88,0.06043287092086041,98.36363636363636,9738,9900,1.5865032521144502
global,88,0.5814396116468642,85.85858585858585,8500,9900
13,89,0.05862078901794222,98.4949494949495,9751,9900,1.4978268298859017
36,89,0.1633154054573088,95.93939393939394,9498,9900,1.4891559103200338
58,89,0.2716342273143807,93.58585858585859,9265,9900,1.570852917347596
71,89,0.13044465565320218,96.87878787878788,9591,9900,1.5389675362814745
global,89,0.5146510685814751,87.26262626262627,8639,9900
13,90,0.03966472886841405,98.85858585858585,9787,9900,1.4781351746416629
36,90,0.06984636874060438,98.24242424242425,9726,9900,1.4649714299823984
58,90,0.21943062101951752,94.54545454545455,9360,9900,1.5490342300110251
71,90,0.06975024467465854,98.06060606060606,9708,9900,1.5505042609457929
global,90,0.42883450498484604,89.07070707070707,8818,9900
13,91,0.08037186993342457,97.86868686868686,9689,9900,1.461964700009161
36,91,0.04870755281713274,98.73737373737373,9775,9900,1.4260012104248645
58,91,0.13544782209426465,96.6161616161616,9565,9900,1.5090520635715183
71,91,0.05013691546489494,98.66666666666667,9768,9900,1.500485659496774
global,91,0.3690675801460189,90.54545454545455,8964,9900
13,92,0.03406215497640648,99.06060606060606,9807,9900,1.3954091447635253
36,92,0.22810194003461587,94.7979797979798,9385,9900,1.3693206276974297
58,92,0.14237382007668717,96.1919191919192,9523,9900,1.5378772799935345
71,92,0.21623776044508425,94.75757575757576,9381,9900,1.4956660443678678
global,92,0.3161903401095458,91.6969696969697,9078,9900
13,93,0.06031035734698026,98.44444444444444,9746,9900,1.4110724096339289
36,93,0.09579999169918021,97.59595959595958,9662,9900,1.4253868079977239
58,93,0.1112501711405889,97.12121212121212,9615,9900,1.5438033924831018
71,93,0.07551391097030255,97.95959595959596,9698,9900,1.4425326445801223
global,93,0.2595643671353658,93.23232323232324,9230,9900
13,94,0.062182308805711344,98.38383838383838,9740,9900,1.3726314171166105
36,94,0.1161038220229775,97.11111111111111,9614,9900,1.345887148030194
58,94,0.1303866371512413,96.85858585858585,9589,9900,1.5146929834580218
71,94,0.0633321996951344,98.29292929292929,9731,9900,1.469804912519168
global,94,0.23444493484015416,93.87878787878789,9294,9900
13,95,0.03845709694229593,98.94949494949495,9796,9900,1.3995380865749691
36,95,0.15850805859373074,96.27272727272728,9531,9900,1.3810945173067857
58,95,0.18594241289177327,95.34343434343434,9439,9900,1.574162938948432
71,95,0.11907669828997718,96.75757575757575,9579,9900,1.3579741966622023
global,95,0.20953395065635141,94.55555555555556,9361,9900
13,96,0.09883275845285618,97.36363636363636,9639,9900,1.305257432911709
36,96,0.03925945806382883,98.91919191919192,9793,9900,1.4130923910988817
58,96,0.28152649881863834,92.94949494949495,9202,9900,1.5205302350124965
71,96,0.11386112429878928,97.0909090909091,9612,9900,1.4720391313596763
global,96,0.1866335116612791,95.3030303030303,9435,9900
13,97,0.05601371977892187,98.43434343434343,9745,9900,1.3091509188006998
36,97,0.09683677841918636,97.54545454545455,9657,9900,1.3748774040361382
58,97,0.1907671248551571,95.4040404040404,9445,9900,1.4761978587245774
71,97,0.10204496782235425,97.23232323232324,9626,9900,1.436065455599895
global,97,0.15353167920401603,96.02020202020202,9506,9900
13,98,0.06475608187793482,98.35353535353535,9737,9900,1.3537523026944316
36,98,0.03318448593444896,99.17171717171716,9818,9900,1.3538929246883968
58,98,0.16495580701514928,96.12121212121212,9516,9900,1.4848593473774345
71,98,0.05512963912703774,98.57575757575758,9759,9900,1.4200564482040197
global,98,0.13204149431652493,96.63636363636363,9567,9900
13,99,0.01224081573763279,99.64646464646465,9865,9900,1.3518638495392352
36,99,0.05986819052184471,98.44444444444444,9746,9900,1.3873519955989477
58,99,0.10659910811920359,97.38383838383838,9641,9900,1.5193620209981031
71,99,0.08653797085538055,97.75757575757575,9678,9900,1.4388068519846975
global,99,0.11317802301560989,97.13131313131314,9616,9900
13,100,0.06004129434775825,98.52525252525253,9754,9900,1.2805313327803336
36,100,0.03918557347146549,99.07070707070707,9808,9900,1.320358004716947
58,100,0.07885288936622215,97.8989898989899,9692,9900,1.493247569351862
71,100,0.03850061486616279,98.8989898989899,9791,9900,1.3460861568934175
global,100,0.09694279125242522,97.48484848484848,9651,9900
13,101,0.03290464664423706,99.14141414141415,9815,9900,1.284090614855879
36,101,0.046900773752066825,98.62626262626263,9764,9900,1.3402255212262886
58,101,0.11116615725587113,97.23232323232324,9626,9900,1.4401958728400057
71,101,0.02146045279961945,99.44444444444444,9845,9900,1.3742848183612266
global,101,0.08489524967140621,97.93939393939394,9696,9900
13,102,0.09831486269380108,97.45454545454545,9648,9900,1.1862743979739734
36,102,0.05924092587648016,98.54545454545455,9756,9900,1.3672699385720402
58,102,0.11028917639544517,97.3030303030303,9633,9900,1.4780058088898231
71,102,0.04242228571137394,98.81818181818181,9783,9900,1.4020118851994585
global,102,0.07703884955006417,98.04040404040404,9706,9900
13,103,0.0839207701490383,97.85858585858585,9688,9900,1.2336516373371729
36,103,0.08815815243155065,97.79797979797979,9682,9900,1.3716691160276722
58,103,0.19955692219011711,94.98989898989899,9404,9900,1.4860083979270498
71,103,0.03784050032421194,99.06060606060606,9807,9900,1.346919956032306
global,103,0.07543103632902859,98.1010101010101,9712,9900
13,104,0.05854908239359807,98.54545454545455,9756,9900,1.301877450560682
36,104,0.0798678695177189,97.98989898989899,9701,9900,1.2818811769304101
58,104,0.15490215663958076,95.83838383838383,9488,9900,1.4421934547177395
71,104,0.045130395749301624,98.75757575757575,9777,9900,1.3237366825691024
global,104,0.07481149768588519,98.11111111111111,9713,9900
13,105,0.08159442498828426,97.83838383838383,9686,9900,1.2156506768581803
36,105,0.061715090792588516,98.39393939393939,9741,9900,1.2724691816693794
58,105,0.09762023944144298,97.6161616161616,9664,9900,1.4234257719559642
71,105,0.030113004468983472,99.22222222222223,9823,9900,1.3402087545767325
global,105,0.0683314680150061,98.29292929292929,9731,9900
13,106,0.03051976488846721,99.22222222222223,9823,9900,1.2748299691013774
36,106,0.04521968658148038,98.83838383838383,9785,9900,1.2950500148703235
58,106,0.07865211751274388,97.85858585858585,9688,9900,1.3815390116194786
71,106,0.028275261485967974,99.38383838383838,9839,9900,1.363167044766435
global,106,0.05667520633249572,98.58585858585859,9760,9900
13,107,0.06749695747488677,98.39393939393939,9741,9900,1.254117811187152
36,107,0.024031852218087273,99.39393939393939,9840,9900,1.2325651687044603
58,107,0.10596358801981415,97.2929292929293,9632,9900,1.3950593947341885
71,107,0.08623009213293442,97.72727272727273,9675,9900,1.2696112974313227
